source,name,result,subfaction,manifestation_lore,unit_entries,models,units
Teams,"Da ting go skkkkrrrraaa, papakakaka Skivipipopop and a poopooturrrboom Skrra, tutukukututoom, poompoom 2000/2000 pts",5-0,Daemonsmith Cabal,Aetherwrought Machineries,10,61,"[{""name"": ""Urak Taar, the First Daemonsmith"", ""points"": 340, ""models"": 1, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": [""General""]}, {""name"": ""Infernal Cohort with Hashutite Blades"", ""points"": 90, ""models"": 10, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Infernal Cohort with Hashutite Blades"", ""points"": 90, ""models"": 10, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Infernal Cohort with Hashutite Spears"", ""points"": 200, ""models"": 20, ""regiment"": ""General's Regiment"", ""reinforced"": true, ""notes"": []}, {""name"": ""Daemonsmith on Infernal Taurus"", ""points"": 290, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": [""Overdrive Switch"", ""An Eye for Weakness"", ""Scroll of Petrification""]}, {""name"": ""Bull Centaurs"", ""points"": 380, ""models"": 6, ""regiment"": ""Regiment 1"", ""reinforced"": true, ""notes"": []}, {""name"": ""Ashen Elder"", ""points"": 120, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}, {""name"": ""Deathshrieker Rocket Battery"", ""points"": 140, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}, {""name"": ""Infernal Razers with Blunderbusses"", ""points"": 220, ""models"": 10, ""regiment"": ""Regiment 2"", ""reinforced"": true, ""notes"": []}, {""name"": ""Tormentor Bombard"", ""points"": 130, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}]"
Teams,Renoir did nothing wrong 2000/2000 pts,4-1,Taar's Grand Forgehost,Primal Energy,13,78,"[{""name"": ""Urak Taar, the First Daemonsmith"", ""points"": 340, ""models"": 1, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": [""General""]}, {""name"": ""Infernal Cohort with Hashutite Blades"", ""points"": 90, ""models"": 10, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Infernal Cohort with Hashutite Blades"", ""points"": 90, ""models"": 10, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Infernal Cohort with Hashutite Spears"", ""points"": 200, ""models"": 20, ""regiment"": ""General's Regiment"", ""reinforced"": true, ""notes"": []}, {""name"": ""Infernal Cohort with Hashutite Spears"", ""points"": 200, ""models"": 20, ""regiment"": ""General's Regiment"", ""reinforced"": true, ""notes"": []}, {""name"": ""Ashen Elder"", ""points"": 120, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}, {""name"": ""Dominator Engine with Bane Maces"", ""points"": 160, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}, {""name"": ""Dominator Engine with Bane Maces"", ""points"": 160, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}, {""name"": ""Infernal Cohort with Hashutite Blades"", ""points"": 90, ""models"": 10, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}, {""name"": ""Scourge of Ghyran War Despot"", ""points"": 130, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": [""Ruthless Overseer"", ""Talisman of Obsidian""]}, {""name"": ""Deathshrieker Rocket Battery"", ""points"": 140, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}, {""name"": ""Deathshrieker Rocket Battery"", ""points"": 140, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}, {""name"": ""Tormentor Bombard"", ""points"": 130, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}]"
Teams,L3 retour SO_Mōnoco_HoH 1950/2000 pts,4-1,Castigation Battery,Forbidden Power,10,52,"[{""name"": ""Urak Taar, the First Daemonsmith"", ""points"": 350, ""models"": 1, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": [""General""]}, {""name"": ""Bull Centaurs"", ""points"": 380, ""models"": 6, ""regiment"": ""General's Regiment"", ""reinforced"": true, ""notes"": []}, {""name"": ""Hobgrotz Vandalz"", ""points"": 70, ""models"": 10, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Ashen Elder"", ""points"": 120, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": [""Scroll of Petrification""]}, {""name"": ""Deathshrieker Rocket Battery"", ""points"": 140, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}, {""name"": ""Tormentor Bombard"", ""points"": 130, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}, {""name"": ""Scourge of Ghyran War Despot"", ""points"": 140, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": [""An Eye for Weakness""]}, {""name"": ""Dominator Engine with Bane Maces"", ""points"": 160, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": [""Greed Pistons""]}, {""name"": ""Infernal Cohort with Hashutite Spears"", ""points"": 220, ""models"": 20, ""regiment"": ""Regiment 2"", ""reinforced"": true, ""notes"": []}, {""name"": ""Infernal Razers with Blunderbusses"", ""points"": 220, ""models"": 10, ""regiment"": ""Regiment 2"", ""reinforced"": true, ""notes"": [""*no name**""]}]"
Teams,List 5,4-1,Unknown,Aetherwrought Machineries,13,50,"[{""name"": ""Urak Taar, the First Daemonsmith"", ""points"": 340, ""models"": 1, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Infernal Cohort with Hashutite Spears"", ""points"": 100, ""models"": 10, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Infernal Cohort with Hashutite Spears"", ""points"": 100, ""models"": 10, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Scourge of Ghyran War Despot"", ""points"": 130, ""models"": 1, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": [""Ruthless Overseer""]}, {""name"": ""Infernal Cohort with Hashutite Blades"", ""points"": 180, ""models"": 20, ""regiment"": ""General's Regiment"", ""reinforced"": true, ""notes"": []}, {""name"": ""Ashen Elder"", ""points"": 120, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}, {""name"": ""Dominator Engine with Bane Maces"", ""points"": 160, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}, {""name"": ""Dominator Engine with Immolation Cannons"", ""points"": 170, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}, {""name"": ""Dominator Engine with Immolation Cannons"", ""points"": 170, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}, {""name"": ""Ashen Elder"", ""points"": 120, ""models"": 1, ""regiment"": ""Regiment 3"", ""reinforced"": false, ""notes"": [""Talisman of Obsidian""]}, {""name"": ""Deathshrieker Rocket Battery"", ""points"": 140, ""models"": 1, ""regiment"": ""Regiment 3"", ""reinforced"": false, ""notes"": []}, {""name"": ""Tormentor Bombard"", ""points"": 130, ""models"": 1, ""regiment"": ""Regiment 3"", ""reinforced"": false, ""notes"": []}, {""name"": ""Deathshrieker Rocket Battery"", ""points"": 140, ""models"": 1, ""regiment"": ""Regiment 3"", ""reinforced"": false, ""notes"": []}]"
