source,week,name,result,subfaction,manifestation_lore,unit_entries,models,units
Singles,April 6-12,Pending Review 2000/2000 pts,4-1,Taar's Grand Forgehost,Aetherwrought Machineries,13,50,"[{""name"": ""Urak Taar, the First Daemonsmith"", ""points"": 340, ""models"": 1, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": [""General""]}, {""name"": ""Infernal Cohort with Hashutite Spears"", ""points"": 200, ""models"": 20, ""regiment"": ""General's Regiment"", ""reinforced"": true, ""notes"": []}, {""name"": ""Infernal Cohort with Hashutite Spears"", ""points"": 100, ""models"": 10, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Infernal Cohort with Hashutite Spears"", ""points"": 100, ""models"": 10, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Scourge of Ghyran War Despot"", ""points"": 130, ""models"": 1, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": [""Ruthless Overseer""]}, {""name"": ""Daemonsmith"", ""points"": 100, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}, {""name"": ""Dominator Engine with Bane Maces"", ""points"": 160, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}, {""name"": ""Dominator Engine with Immolation Cannons"", ""points"": 170, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}, {""name"": ""Dominator Engine with Immolation Cannons"", ""points"": 170, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}, {""name"": ""Ashen Elder"", ""points"": 120, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": [""Talisman of Obsidian""]}, {""name"": ""Deathshrieker Rocket Battery"", ""points"": 140, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}, {""name"": ""Deathshrieker Rocket Battery"", ""points"": 140, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}, {""name"": ""Tormentor Bombard"", ""points"": 130, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}]"
Singles,April 13-19,Liste ludiverse 1990/2000 pts,4-1,Domination Force,Forbidden Power,8,38,"[{""name"": ""Urak Taar, the First Daemonsmith"", ""points"": 350, ""models"": 1, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": [""General""]}, {""name"": ""Bull Centaurs"", ""points"": 380, ""models"": 6, ""regiment"": ""General's Regiment"", ""reinforced"": true, ""notes"": []}, {""name"": ""Bull Centaurs"", ""points"": 380, ""models"": 6, ""regiment"": ""General's Regiment"", ""reinforced"": true, ""notes"": []}, {""name"": ""Infernal Razers with Blunderbusses"", ""points"": 220, ""models"": 10, ""regiment"": ""General's Regiment"", ""reinforced"": true, ""notes"": []}, {""name"": ""Daemonsmith on Infernal Taurus"", ""points"": 290, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": [""Overdrive Switch"", ""An Eye for Weakness"", ""Scroll of Petrification""]}, {""name"": ""Anointed Sentinels"", ""points"": 150, ""models"": 3, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}, {""name"": ""Hobgrotz Vandalz"", ""points"": 70, ""models"": 10, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}, {""name"": ""Tormentor Bombard"", ""points"": 130, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}]"
Singles,April 13-19,This ia my list because it is all i managed to have paintet in time..2000/2000 pts,4-1,Domination Force,Forbidden Power,9,70,"[{""name"": ""Urak Taar, the First Daemonsmith"", ""points"": 340, ""models"": 1, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": [""General""]}, {""name"": ""Hobgrotz Vandalz"", ""points"": 140, ""models"": 20, ""regiment"": ""General's Regiment"", ""reinforced"": true, ""notes"": []}, {""name"": ""Infernal Cohort with Hashutite Spears"", ""points"": 200, ""models"": 20, ""regiment"": ""General's Regiment"", ""reinforced"": true, ""notes"": []}, {""name"": ""Infernal Cohort with Hashutite Spears"", ""points"": 100, ""models"": 10, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Infernal Razers with Blunderbusses"", ""points"": 220, ""models"": 10, ""regiment"": ""General's Regiment"", ""reinforced"": true, ""notes"": []}, {""name"": ""Daemonsmith on Infernal Taurus"", ""points"": 290, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": [""Greed Pistons"", ""An Eye for Weakness"", ""Scroll of Petrification""]}, {""name"": ""Bull Centaurs"", ""points"": 380, ""models"": 6, ""regiment"": ""Regiment 1"", ""reinforced"": true, ""notes"": []}, {""name"": ""Deathshrieker Rocket Battery"", ""points"": 140, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}, {""name"": ""Dominator Engine with Immolation Cannons"", ""points"": 170, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}]"
Singles,April 13-19,The Price of Progress 1990/2000 pts,4-1,Taar's Grand Forgehost,Primal Energy,13,31,"[{""name"": ""Urak Taar, the First Daemonsmith"", ""points"": 340, ""models"": 1, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": [""General""]}, {""name"": ""Dominator Engine with Immolation Cannons"", ""points"": 170, ""models"": 1, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Dominator Engine with Immolation Cannons"", ""points"": 170, ""models"": 1, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Dominator Engine with Immolation Cannons"", ""points"": 170, ""models"": 1, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Dominator Engine with Immolation Cannons"", ""points"": 170, ""models"": 1, ""regiment"": ""General's Regiment"", ""reinforced"": false, ""notes"": []}, {""name"": ""Ashen Elder"", ""points"": 120, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}, {""name"": ""Infernal Cohort with Hashutite Spears"", ""points"": 100, ""models"": 10, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}, {""name"": ""Infernal Cohort with Hashutite Spears"", ""points"": 100, ""models"": 10, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": []}, {""name"": ""Scourge of Ghyran War Despot"", ""points"": 130, ""models"": 1, ""regiment"": ""Regiment 1"", ""reinforced"": false, ""notes"": [""Talisman of Obsidian""]}, {""name"": ""Daemonsmith"", ""points"": 100, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": [""Ruthless Overseer""]}, {""name"": ""Deathshrieker Rocket Battery"", ""points"": 140, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}, {""name"": ""Deathshrieker Rocket Battery"", ""points"": 140, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}, {""name"": ""Tormentor Bombard"", ""points"": 130, ""models"": 1, ""regiment"": ""Regiment 2"", ""reinforced"": false, ""notes"": []}]"
